disease,discription,causes,remedy
Acute_Gastroenteritis,"Sudden inflammation of stomach and intestines causing diarrhea, vomiting, and abdominal cramps.","Commonly caused by rotavirus, norovirus, contaminated food/water, or bacterial toxins.","Rehydration therapy, electrolyte replacement, safe food practices; antibiotics only for bacterial cases."
Amyotrophic_Lateral_Sclerosis,Progressive degeneration of motor neurons leading to muscle weakness and paralysis.,Mostly idiopathic; some cases linked to SOD1 or C9orf72 gene mutations.,"Riluzole, edaravone, respiratory support, physiotherapy, assistive devices."
Asthma,"Chronic airway inflammation causing wheezing, chest tightness, and reversible airflow obstruction.","Allergens, pollution, exercise, respiratory infections, genetic predisposition.","Inhaled corticosteroids, bronchodilators, trigger avoidance, asthma action plan."
Chronic_Kidney_Disease,Progressive loss of kidney function affecting filtration and waste removal.,"Diabetes, hypertension, glomerulonephritis, polycystic kidney disease.","Blood pressure control, glucose control, dialysis in late stages, renal diet."
Chronic_Liver_Disease,Long‑term liver damage causing fibrosis and impaired liver function.,"Alcohol abuse, hepatitis B/C, fatty liver disease, autoimmune liver disorders.","Avoid alcohol, antiviral therapy, weight loss, liver‑protective medications."
Cirrhosis,Late‑stage liver scarring causing portal hypertension and liver failure.,"Chronic hepatitis, alcohol abuse, NAFLD, autoimmune hepatitis.","Manage complications, low‑salt diet, diuretics, liver transplant for severe cases."
Common_Cold,"Viral infection of upper respiratory tract causing runny nose, cough, sneezing.",Rhinovirus most common; spread via droplets.,"Rest, hydration, antihistamines, decongestants."
COPD,Chronic airflow limitation due to lung damage.,"Smoking, long‑term pollutant exposure.","Bronchodilators, inhaled steroids, smoking cessation, pulmonary rehab."
Coronary_Artery_Disease,Narrowing of coronary arteries reducing blood flow to heart.,"Atherosclerosis from high cholesterol, smoking, diabetes, hypertension.","Statins, antiplatelets, angioplasty, lifestyle modifications."
COVID19,"Viral respiratory illness causing fever, cough, and breathing difficulty.",SARS‑CoV‑2 transmission through droplets/aerosols.,"Antivirals, supportive oxygen therapy, vaccination, isolation."
Crohn_Disease,Chronic inflammatory bowel disease affecting any part of GI tract.,"Immune dysregulation, genetic factors (NOD2 gene).","Immunosuppressants, biologics, corticosteroids, surgery in complications."
Cystic_Fibrosis,Genetic disorder causing thick mucus buildup in lungs and pancreas.,CFTR gene mutation affecting chloride transport.,"Airway clearance, pancreatic enzymes, CFTR modulators."
Dengue,Mosquito‑borne viral infection causing high fever and severe body pain.,Aedes aegypti mosquito transmitting dengue virus.,"Hydration, fever control, monitoring for shock; no NSAIDs."
Depression,"Mood disorder with persistent sadness, loss of interest, and fatigue.","Neurochemical imbalance, stress, genetics.","SSRIs, psychotherapy, lifestyle regulation."
Ehlers_Danlos_Syndrome,Connective tissue disorder causing hyperflexible joints and fragile skin.,Genetic mutations affecting collagen formation.,"Pain management, physiotherapy, joint protection."
Epilepsy,Neurological condition with recurrent unprovoked seizures.,"Genetic factors, brain injury, infections, metabolic issues.","Antiepileptic drugs, ketogenic diet, surgery for refractory cases."
Fanconi_Anemia,"Inherited bone marrow failure disorder causing low blood cell counts, skeletal abnormalities, and cancer risk.","Mutations in DNA repair genes (FANCA, FANCC, FANCG).","Bone marrow transplant, androgen therapy, supportive transfusions."
Flu,"Acute viral respiratory infection with fever, cough, sore throat, and body aches.",Influenza A or B virus transmitted by droplets.,"Antivirals (oseltamivir), rest, hydration, annual flu vaccination."
Gastritis,"Inflammation of stomach lining causing pain, nausea, and indigestion.","H. pylori infection, NSAIDs, alcohol, stress.","PPIs, H. pylori eradication, avoiding irritant foods."
Gaucher_Disease,Lysosomal storage disorder leading to enlarged spleen/liver and bone problems.,GBA gene mutation causing glucocerebrosidase deficiency.,"Enzyme replacement therapy (imiglucerase), substrate reduction therapy."
Generalized_Anxiety_Disorder,"Chronic excessive worry with restlessness, irritability, and muscle tension.","Neurochemical imbalance, stress, genetics.","CBT therapy, SSRIs, lifestyle regulation."
Hypertension,Persistent high blood pressure affecting cardiovascular health.,"Salt intake, obesity, genetics, kidney disease.","ACE inhibitors, lifestyle changes, low‑salt diet."
Hyperthyroidism,"Overactive thyroid causing weight loss, palpitations, and heat intolerance.","Graves' disease, thyroid nodules, excess iodine.","Antithyroid drugs, beta‑blockers, radioactive iodine."
Hypothyroidism,"Underactive thyroid causing fatigue, weight gain, and cold intolerance.","Hashimoto’s thyroiditis, iodine deficiency.",Levothyroxine replacement therapy.
Inflammatory_Bowel_Disease,Chronic GI inflammation including Crohn’s disease and ulcerative colitis.,"Immune dysregulation, genetics, microbiome imbalance.","Immunosuppressants, biologics, dietary management."
Irritable_Bowel_Syndrome,Functional bowel disorder with abdominal pain and altered bowel habits.,"Gut‑brain axis dysfunction, stress, food triggers.","Dietary modification (low FODMAP), antispasmodics, probiotics."
Marfan_Syndrome,"Connective tissue disorder affecting heart, eyes, and skeleton.",FBN1 gene mutation affecting fibrillin‑1.,"Beta‑blockers, aortic monitoring, corrective surgery."
Metabolic_Syndrome,"Cluster of conditions including obesity, hypertension, high glucose, and high triglycerides.","Insulin resistance, obesity, genetics.","Weight loss, exercise, lipid‑lowering and glucose‑lowering medications."
Migraine,Recurrent throbbing headaches with nausea and light sensitivity.,"Genetic predisposition, hormonal changes, stress triggers.","Triptans, NSAIDs, preventive medications (beta‑blockers, topiramate)."
Multiple_Sclerosis,Autoimmune demyelinating disorder affecting the central nervous system.,"Immune attack on myelin, genetics, low vitamin D.","Disease‑modifying therapies, steroids for relapse, physiotherapy."
Niemann_Pick_Disease,Lysosomal storage disorder causing lipid accumulation in organs.,Mutations in SMPD1 or NPC1/NPC2 genes.,"Supportive therapy, miglustat for type C."
Obesity,Excess body fat negatively affecting overall health.,"High‑calorie diet, inactivity, hormones, genetics.","Calorie restriction, exercise, weight‑loss medications, bariatric surgery."
Osteoarthritis,Degeneration of joint cartilage causing pain and stiffness.,"Age, obesity, joint overuse, injuries.","Pain relievers, physiotherapy, joint replacement for advanced cases."
Osteopetrosis,Increased bone density due to defective bone resorption.,Genetic mutations affecting osteoclasts.,"Vitamin D, bone marrow transplant for severe forms."
Peptic_Ulcer_Disease,Sores in stomach or duodenal lining causing burning pain.,"H. pylori infection, NSAID overuse.","PPIs, H. pylori eradication therapy, avoid NSAIDs."
Pneumonia,"Infection of lung tissue causing fever, cough, chest pain.","Bacteria (S. pneumoniae), viruses, fungi.","Antibiotics if bacterial, oxygen therapy, rest."
Polycystic_Ovary_Syndrome,Hormonal disorder causing irregular periods and ovarian cysts.,"Insulin resistance, hormonal imbalance.","Metformin, lifestyle change, hormonal therapy."
Psoriasis,Autoimmune skin disease causing scaly patches.,"Immune overactivity, genetics.","Topical steroids, phototherapy, biologics."
Spinal_Muscular_Atrophy,Genetic disorder causing muscle weakness due to motor neuron loss.,SMN1 gene mutation.,"Nusinersen, gene therapy, physiotherapy."
Stroke,Reduced brain blood supply causing neurological deficits.,Ischemia from clots or hemorrhage.,"Thrombolysis, rehabilitation, BP control."
Systemic_Lupus_Erythematosus,"Autoimmune disease affecting skin, joints, kidneys, and more.",Genetic and immune dysregulation.,"Steroids, immunosuppressants, sun protection."
Tuberculosis,Chronic lung infection causing cough and weight loss.,Mycobacterium tuberculosis transmitted by droplets.,"RIPE therapy (rifampicin, isoniazid, pyrazinamide, ethambutol)."
Type2_Diabetes,Metabolic disorder causing high blood sugar due to insulin resistance.,"Obesity, genetics, inactivity.","Metformin, diet control, exercise, insulin if needed."
Typhoid_Fever,Bacterial infection causing prolonged fever and abdominal pain.,Salmonella typhi via contaminated food/water.,"Antibiotics, hydration, vaccines for prevention."
Ulcerative_Colitis,Inflammation of colon lining causing bloody diarrhea.,Immune‑mediated; genetic predisposition.,"5‑ASA drugs, steroids, biologics, surgery if needed."
Urinary_Tract_Infection,Infection of bladder or urethra causing burning urination.,E. coli most common pathogen.,"Antibiotics, hydration, hygiene practices."
